Title,Authors,FirstAuthor,FirstAuthorAffiliation,LastAuthor,LastAuthorAffiliation,LastAuthorEmail,LastAuthorHindex,Abstract,Journal,PublicationDate,Grant
"Association of Broad- vs Narrow-Spectrum Antibiotics With Treatment Failure, Adverse Events, and Quality of Life in Children With Acute Respiratory Tract Infections.","['Gerber, Jeffrey S', 'Ross, Rachael K', 'Bryan, Matthew', 'Localio, A Russell', 'Szymczak, Julia E', 'Wasserman, Richard', 'Barkman, Darlene', 'Odeniyi, Folasade', 'Conaboy, Kathryn', 'Bell, Louis', 'Zaoutis, Theoklis E', 'Fiks, Alexander G']","Gerber, Jeffrey S",University of Pennsylvania,"Fiks, Alexander G",University of Pennsylvania,,21,"Importance: Acute respiratory tract infections account for the majority of antibiotic exposure in children, and broad-spectrum antibiotic prescribing for acute respiratory tract infections is increasing. It is not clear whether broad-spectrum treatment is associated with improved outcomes compared with narrow-spectrum treatment. Objective: To compare the effectiveness of broad-spectrum and narrow-spectrum antibiotic treatment for acute respiratory tract infections in children. Design, Setting, and Participants: A retrospective cohort study assessing clinical outcomes and a prospective cohort study assessing patient-centered outcomes of children between the ages of 6 months and 12 years diagnosed with an acute respiratory tract infection and prescribed an oral antibiotic between January 2015 and April 2016 in a network of 31 pediatric primary care practices in Pennsylvania and New Jersey. Stratified and propensity score-matched analyses to account for confounding by clinician and by patient-level characteristics, respectively, were implemented for both cohorts. Exposures: Broad-spectrum antibiotics vs narrow-spectrum antibiotics. Main Outcomes and Measures: In the retrospective cohort, the primary outcomes were treatment failure and adverse events 14 days after diagnosis. In the prospective cohort, the primary outcomes were quality of life, other patient-centered outcomes, and patient-reported adverse events. Results: Of 30159 children in the retrospective cohort (19179 with acute otitis media; 6746, group A streptococcal pharyngitis; and 4234, acute sinusitis), 4307 (14%) were prescribed broad-spectrum antibiotics including amoxicillin-clavulanate, cephalosporins, and macrolides. Broad-spectrum treatment was not associated with a lower rate of treatment failure (3.4% for broad-spectrum antibiotics vs 3.1% for narrow-spectrum antibiotics; risk difference for full matched analysis, 0.3% [95% CI, -0.4% to 0.9%]). Of 2472 children enrolled in the prospective cohort (1100 with acute otitis media; 705, group A streptococcal pharyngitis; and 667, acute sinusitis), 868 (35%) were prescribed broad-spectrum antibiotics. Broad-spectrum antibiotics were associated with a slightly worse child quality of life (score of 90.2 for broad-spectrum antibiotics vs 91.5 for narrow-spectrum antibiotics; score difference for full matched analysis, -1.4% [95% CI, -2.4% to -0.4%]) but not with other patient-centered outcomes. Broad-spectrum treatment was associated with a higher risk of adverse events documented by the clinician (3.7% for broad-spectrum antibiotics vs 2.7% for narrow-spectrum antibiotics; risk difference for full matched analysis, 1.1% [95% CI, 0.4% to 1.8%]) and reported by the patient (35.6% for broad-spectrum antibiotics vs 25.1% for narrow-spectrum antibiotics; risk difference for full matched analysis, 12.2% [95% CI, 7.3% to 17.2%]). Conclusions and Relevance: Among children with acute respiratory tract infections, broad-spectrum antibiotics were not associated with better clinical or patient-centered outcomes compared with narrow-spectrum antibiotics, and were associated with higher rates of adverse events. These data support the use of narrow-spectrum antibiotics for most children with acute respiratory tract infections.",JAMA,2017 Dec 19,
Chronic Traumatic Encephalopathy in Football Players-Reply.,"['McKee, Ann C', 'Mez, Jesse', 'Abdolmohammadi, Bobak']","McKee, Ann C",VA Medical Center,"Abdolmohammadi, Bobak",Boston University School of Medicine,,3,,JAMA,2017 Dec 19,
Benefits and Risks of Machine Learning Decision Support Systems-Reply.,"['Cabitza, Federico', 'Rasoini, Raffaele', 'Gensini, Gian Franco']","Cabitza, Federico",Universita degli Studi di Milano - Bicocca,"Gensini, Gian Franco",Azienda Ospedaliera Careggi,,68,,JAMA,2017 Dec 19,
Chronic Traumatic Encephalopathy in Football Players.,"['Yari, Niloofar']","Yari, Niloofar",Scott and White,"Yari, Niloofar",Scott and White,,1,,JAMA,2017 Dec 19,
Chronic Traumatic Encephalopathy in Football Players.,"['Zuckerman, Scott L', 'Brett, Benjamin L', 'Yengo-Kahn, Aaron M']","Zuckerman, Scott L",Vanderbilt University School of Medicine,"Yengo-Kahn, Aaron M",Vanderbilt University School of Medicine,,5,,JAMA,2017 Dec 19,
Benefits and Risks of Machine Learning Decision Support Systems.,"['Licitra, Lisa', 'Trama, Annalisa', 'Hosni, Hykel']","Licitra, Lisa","Fondazione IRCCS Istituto Nazionale dei Tumori, Milan","Hosni, Hykel",Universita degli Studi dell'Insubria,,3,,JAMA,2017 Dec 19,
Benefits and Risks of Machine Learning Decision Support Systems.,"['Lasko, Thomas A', 'Walsh, Colin G', 'Malin, Bradley']","Lasko, Thomas A",Vanderbilt University,"Malin, Bradley",Vanderbilt University,,29,,JAMA,2017 Dec 19,
Benefits and Risks of Machine Learning Decision Support Systems.,"['Berner, Eta S', 'Ozaydin, Bunyamin']","Berner, Eta S",University of Alabama at Birmingham,"Ozaydin, Bunyamin",University of Alabama at Birmingham,,1,,JAMA,2017 Dec 19,
Benefits and Risks of Machine Learning Decision Support Systems.,"['Fogel, Alexander L', 'Kvedar, Joseph C']","Fogel, Alexander L",Stanford University School of Medicine,"Kvedar, Joseph C",Partners HealthCare,,27,,JAMA,2017 Dec 19,
Benefits and Risks of Machine Learning Decision Support Systems.,"['Huesch, Marco D']","Huesch, Marco D",Penn State Health,"Huesch, Marco D",Penn State Health,,9,,JAMA,2017 Dec 19,
"Suicide Risk Behaviors Among Sexual Minority Adolescents in the United States, 2015.","['Caputi, Theodore L', 'Smith, Davey', 'Ayers, John W']","Caputi, Theodore L",University College Cork,"Ayers, John W",San Diego State University,,20,,JAMA,2017 Dec 19,"['P30 AI036214/AI/NIAID NIH HHS/United States', 'R01 AI118422/AI/NIAID NIH HHS/United States']"
The War Surgeon.,,,,,,,,,JAMA,2017 Dec 19,
Colonoscopy Surveillance After Colorectal Cancer Resection.,"['Rusiecki, Jennifer', 'Cifu, Adam S']","Rusiecki, Jennifer",Uniformed Services University of the Health Sciences,"Cifu, Adam S",University of Chicago,,12,,JAMA,2017 Dec 19,
Diagnosis and First-Line Treatment of Chronic Sinusitis.,"['Bergmark, Regan W', 'Pynnonen, Melissa']","Bergmark, Regan W",Harvard Medical School,"Pynnonen, Melissa","University of Michigan, Ann Arbor",,13,,JAMA,2017 Dec 19,
FDA Pursues Unproven Cancer Claims.,"['Voelker, Rebecca']","Voelker, Rebecca",MSJ,"Voelker, Rebecca",MSJ,,15,,JAMA,2017 Dec 19,
First Treatment Approved for Rare Blood Cancer.,"['Voelker, Rebecca']","Voelker, Rebecca",MSJ,"Voelker, Rebecca",MSJ,,15,,JAMA,2017 Dec 19,
Blood Test Results-Pronto.,"['Voelker, Rebecca']","Voelker, Rebecca",MSJ,"Voelker, Rebecca",MSJ,,15,,JAMA,2017 Dec 19,
Cervical Pessary to Prevent Preterm Birth.,"['Silver, Robert M', 'Branch, D Ware']","Silver, Robert M","University of Utah, School of Medicine","Branch, D Ware",University of Utah Health,,61,,JAMA,2017 Dec 19,
Guidelines for Statistical Analysis Plans.,"['DeMets, David L', 'Cook, Thomas D', 'Buhr, Kevin A']","DeMets, David L",University of Wisconsin Madison,"Buhr, Kevin A",University of Wisconsin Madison,,10,,JAMA,2017 Dec 19,
Is Medical Education a Public or a Private Good?: Insights From the Numbers.,"['Lucey, Catherine R']","Lucey, Catherine R",UCSF School of Medicine,"Lucey, Catherine R",UCSF School of Medicine,,14,,JAMA,2017 Dec 19,
"Graduate Medical Education, 2016-2017.","['Brotherton, Sarah E', 'Etzel, Sylvia I']","Brotherton, Sarah E",American Medical Association,"Etzel, Sylvia I",American Medical Association,,27,,JAMA,2017 Dec 19,
"Medical Schools in the United States, 2016-2017.","['Barzansky, Barbara', 'Etzel, Sylvia I']","Barzansky, Barbara",American Medical Association,"Etzel, Sylvia I",American Medical Association,,27,,JAMA,2017 Dec 19,
Graphic Medicine: The Best of 2017.,"['Green, Michael J', 'Squier, Susan M']","Green, Michael J",Penn State College of Medicine,"Squier, Susan M",Pennsylvania State University,,6,,JAMA,2017 Dec 19,
Old Veins.,"['Halberstadt, Carol Snyder']","Halberstadt, Carol Snyder",,"Halberstadt, Carol Snyder",,,0,,JAMA,2017 Dec 12,
More Than 1 in 5 Working Adults Use Some Form of Tobacco.,"['Rubin, Rita']","Rubin, Rita",Independent journalist,"Rubin, Rita",Independent journalist,,5,,JAMA,2017 Dec 12,
Illicit Fentanyl Driving Opioid Overdose Deaths.,"['Rubin, Rita']","Rubin, Rita",Independent journalist,"Rubin, Rita",Independent journalist,,5,,JAMA,2017 Dec 12,
Hormone Therapy for the Primary Prevention of Chronic Conditions in Postmenopausal Women: US Preventive Services Task Force Recommendation Statement.,"['Grossman, David C', 'Curry, Susan J', 'Owens, Douglas K', 'Barry, Michael J', 'Davidson, Karina W', 'Doubeni, Chyke A', 'Epling, John W Jr', 'Kemper, Alex R', 'Krist, Alex H', 'Kurth, Ann E', 'Landefeld, C Seth', 'Mangione, Carol M', 'Phipps, Maureen G', 'Silverstein, Michael', 'Simon, Melissa A', 'Tseng, Chien-Wen']","Grossman, David C",Group Health Research Institute,"Tseng, Chien-Wen",University of Hawaii at Manoa,,17,"Importance: Menopause occurs at a median age of 51.3 years, and the average US woman who reaches menopause is expected to live another 30 years. The prevalence and incidence of most chronic conditions, such as coronary heart disease, dementia, stroke, fractures, and breast cancer, increase with age; however, the excess risk for these conditions that can be attributed to menopause alone is uncertain. Since the publication of findings from the Women's Health Initiative that hormone therapy use is associated with serious adverse health effects in postmenopausal women, use of menopausal hormone therapy has declined. Objective: To update the 2012 US Preventive Services Task Force (USPSTF) recommendation on the use of menopausal hormone therapy for the primary prevention of chronic conditions. Evidence Review: The USPSTF reviewed the evidence on the benefits and harms of systemic (ie, oral or transdermal) hormone therapy for the prevention of chronic conditions in postmenopausal women and whether outcomes vary among women in different subgroups or by timing of intervention after menopause. The review did not address hormone therapy for preventing or treating menopausal symptoms. Findings: Although the use of hormone therapy to prevent chronic conditions in postmenopausal women is associated with some benefits, there are also well-documented harms. The USPSTF determined that the magnitude of both the benefits and the harms of hormone therapy in postmenopausal women is small to moderate. Therefore, the USPSTF concluded with moderate certainty that combined estrogen and progestin has no net benefit for the primary prevention of chronic conditions for most postmenopausal women with an intact uterus and that estrogen alone has no net benefit for the primary prevention of chronic conditions for most postmenopausal women who have had a hysterectomy. Conclusions and Recommendation: The USPSTF recommends against the use of combined estrogen and progestin for the primary prevention of chronic conditions in postmenopausal women. (D recommendation) The USPSTF recommends against the use of estrogen alone for the primary prevention of chronic conditions in postmenopausal women who have had a hysterectomy. (D recommendation).",JAMA,2017 Dec 12,
Hormone Therapy for the Primary Prevention of Chronic Conditions in Postmenopausal Women: Evidence Report and Systematic Review for the US Preventive Services Task Force.,"['Gartlehner, Gerald', 'Patel, Sheila V', 'Feltner, Cynthia', 'Weber, Rachel Palmieri', 'Long, Rachel', 'Mullican, Kelly', 'Boland, Erin', 'Lux, Linda', 'Viswanathan, Meera']","Gartlehner, Gerald",Donau-Universitat Krems,"Viswanathan, Meera",RTI Health Solutions,,24,"Importance: Postmenopausal status coincides with increased risks for chronic conditions such as heart disease, osteoporosis, cognitive impairment, or some types of cancers. Previously, hormone therapy was used for the primary prevention of these chronic conditions. Objective: To update evidence for the US Preventive Services Task Force on the benefits and harms of hormone therapy in reducing risks for chronic conditions. Data Sources: MEDLINE, Cochrane Library, EMBASE, and trial registries from June 1, 2011, through August 1, 2016. Surveillance for new evidence in targeted publications was conducted through July 1, 2017. Study Selection: English-language randomized clinical trials reporting health outcomes. Data Extraction and Synthesis: Dual review of abstracts, full-text articles, and study quality; meta-analyses when at least 3 similar studies were available. Main Outcomes and Measures: Beneficial or harmful changes in risks for various chronic conditions. Results: Eighteen trials (n = 40058; range, 142-16608; mean age, 53-79 years) were included. Women using estrogen-only therapy compared with placebo had significantly lower risks, per 10000 person-years, for diabetes (-19 cases [95% CI, -34 to -3]) and fractures (-53 cases [95% CI, -69 to -39]). Risks were statistically significantly increased, per 10000 person-years, for gallbladder disease (30 more cases [95% CI, 16 to 48]), stroke (11 more cases [95% CI, 2 to 23]), venous thromboembolism (11 more cases [95% CI, 3 to 22]), and urinary incontinence (1261 more cases [95% CI, 880 to 1689]). Women using estrogen plus progestin compared with placebo experienced significantly lower risks, per 10000 person-years, for colorectal cancer (-6 cases [95% CI, -9 to -1]), diabetes (-14 cases [95% CI, -24 to -3), and fractures (-44 cases [95% CI, -71 to -13). Risks, per 10000 person-years, were significantly increased for invasive breast cancer (9 more cases [95% CI, 1 to 19]), probable dementia (22 more cases [95% CI, 4 to 53]), gallbladder disease (21 more cases [95% CI, 10 to 34]), stroke (9 more cases [95% CI, 2 to 19]), urinary incontinence (876 more cases [95% CI, 606 to 1168]), and venous thromboembolism (21 more cases [95% CI, 12 to 33]). Conclusions and Relevance: Hormone therapy for the primary prevention of chronic conditions in menopausal women is associated with some beneficial effects but also with a substantial increase of risks for harms. The available evidence regarding benefits and harms of early initiation of hormone therapy is inconclusive.",JAMA,2017 Dec 12,
A Fair Interpretation.,"['DeForest, Anna']","DeForest, Anna","Columbia University, College of Physicians and Surgeons","DeForest, Anna","Columbia University, College of Physicians and Surgeons",,0,,JAMA,2017 Dec 12,
Hormone Therapy for Primary Prevention of Chronic Conditions in Postmenopausal Women.,"['Jin, Jill']","Jin, Jill",Northwestern University Feinberg School of Medicine,"Jin, Jill",Northwestern University Feinberg School of Medicine,,4,,JAMA,2017 Dec 12,
Effect of Levothyroxine on Miscarriage Among Women With Normal Thyroid Function and Thyroid Autoimmunity Undergoing In Vitro Fertilization and Embryo Transfer: A Randomized Clinical Trial.,"['Wang, Haining', 'Gao, Hongwei', 'Chi, Hongbin', 'Zeng, Lin', 'Xiao, Wenhua', 'Wang, Yanrong', 'Li, Rong', 'Liu, Ping', 'Wang, Chen', 'Tian, Qing', 'Zhou, Zehong', 'Yang, Jin', 'Liu, Ye', 'Wei, Rui', 'Mol, Ben Willem J', 'Hong, Tianpei', 'Qiao, Jie']","Wang, Haining",University of Delaware,"Qiao, Jie",University of Science and Technology Beijing,,31,"Importance: Presence of thyroid autoantibodies in women with normal thyroid function is associated with increased risk of miscarriage. Whether levothyroxine treatment improves pregnancy outcomes among women undergoing in vitro fertilization and embryo transfer (IVF-ET) is unknown. Objective: To determine the effect of levothyroxine on miscarriage among women undergoing IVF-ET who had normal thyroid function and tested positive for thyroid autoantibodies. Design, Setting, and Participants: An open-label, randomized clinical trial involving 600 women who tested positive for the antithyroperoxidase antibody and were being treated for infertility at Peking University Third Hospital from September 2012 to March 2017. Interventions: The intervention group (n = 300) received either a 25-mug/d or 50-mug/d dose of levothyroxine at study initiation that was titrated according to the level of thyroid-stimulating hormone during pregnancy. The women in the control group (n = 300) did not receive levothyroxine. All participants received the same IVF-ET and follow-up protocols. Main Outcomes and Measures: The primary outcome was the miscarriage rate (pregnancy loss before 28 weeks of gestation, which was calculated among women who became pregnant). The secondary outcomes were clinical intrauterine pregnancy rate (fetal cardiac activity seen at sonography observation on the 30th day after the embryo transfer), and live-birth rate (at least 1 live birth after 28 weeks of gestation). Results: Among the 600 women (mean [SD] age, 31.6 [3.8] years) randomized in this trial, 567 women (94.5%) underwent IVF-ET and 565 (94.2%) completed the study. Miscarriage rates were 10.3% (11 of 107) in the intervention group and 10.6% (12 of 113) in the control group, with the absolute rate difference (RD) of -0.34% (95% CI, -8.65% to 8.12%) over the 4.5-year study period. Clinical intrauterine pregnancy rates were 35.7% (107 of 300) in the intervention group and 37.7% (113 of 300) in the control group, with an absolute RD of -2.00% (95% CI, -9.65% to 5.69%). Live-birth rates were 31.7% (95 of 300) in the intervention group and 32.3% (97 of 300) in the control group, with an absolute RD of -0.67% (95% CI, -8.09% to 6.77%). Conclusions and Relevance: Among women in China who had intact thyroid function and tested positive for antithyroperoxidase antibodies and were undergoing IVF-ET, treatment with levothyroxine, compared with no levothyroxine treatment, did not reduce miscarriage rates or increase live-birth rates. Trial Registration: Chinese Clinical Trial Registry: ChiCTR-TRC-13004097.",JAMA,2017 Dec 12,
